scenario,var,id,val,pos
-0.25,SCEC,MVPI002560,6.75,ld3
-0.25,SLB,MVPI002562,112.5,ld4
-0.25,SLLL,MVPI002564,0.21,ld4
-0.25,SDUL,MVPI002565,0.23325,ld4
-0.25,SSAT,MVPI002566,0.3975,ld4
-0.25,SRGF,MVPI002567,0.075,ld4
-0.25,SSKS,MVPI002568,0.9075,ld4
-0.25,SBDM,MVPI002569,0.81,ld4
-0.25,SLOC,MVPI002570,0.675,ld4
-0.25,SLCL,MVPI002571,46.5,ld4
-0.25,SLSI,MVPI002572,12,ld4
-0.25,SLCF,MVPI002573,0,ld4
-0.25,SLNI,MVPI002574,0.0675,ld4
-0.25,SLHW,MVPI002575,4.125,ld4
-0.25,SCEC,MVPI002577,6.75,ld4
-0.5,SALB,MVPI005002,0.07,pd
-0.5,SLU1,MVPI005003,4.55,pd
-0.5,SLDR,MVPI005004,0.1,pd
-0.5,SLRO,MVPI005005,41.5,pd
-0.5,SLNF,MVPI005006,0.5,pd
-0.5,SLPF,MVPI005007,0.5,pd
-0.5,SLB,MVPI005011,10,ld1
-0.5,SLLL,MVPI005013,0.14,ld1
-0.5,SDUL,MVPI005014,0.1745,ld1
-0.5,SSAT,MVPI005015,0.265,ld1
-0.5,SRGF,MVPI005016,0.5,ld1
-0.5,SSKS,MVPI005017,0.195,ld1
-0.5,SBDM,MVPI005018,0.615,ld1
-0.5,SLOC,MVPI005019,0.735,ld1
-0.5,SLCL,MVPI005020,32.5,ld1
-0.5,SLSI,MVPI005021,7.5,ld1
-0.5,SLCF,MVPI005022,0,ld1
-0.5,SLNI,MVPI005023,0.06,ld1
-0.5,SLHW,MVPI005024,2.5,ld1
-0.5,SCEC,MVPI005026,5.4,ld1
-0.5,SLB,MVPI005028,20,ld2
-0.5,SLLL,MVPI005030,0.142,ld2
-0.5,SDUL,MVPI005031,0.1725,ld2
-0.5,SSAT,MVPI005032,0.265,ld2
-0.5,SRGF,MVPI005033,0.5,ld2
-0.5,SSKS,MVPI005034,0.315,ld2
-0.5,SBDM,MVPI005035,0.565,ld2
-0.5,SLOC,MVPI005036,0.555,ld2
-0.5,SLCL,MVPI005037,32.5,ld2
-0.5,SLSI,MVPI005038,8.5,ld2
-0.5,SLCF,MVPI005039,0,ld2
-0.5,SLNI,MVPI005040,0.05,ld2
-0.5,SLHW,MVPI005041,2.75,ld2
-0.5,SCEC,MVPI005043,4.6,ld2
-0.5,SLB,MVPI005045,60,ld3
-0.5,SLLL,MVPI005047,0.14,ld3
-0.5,SDUL,MVPI005048,0.1555,ld3
-0.5,SSAT,MVPI005049,0.265,ld3
-0.5,SRGF,MVPI005050,0.45,ld3
-0.5,SSKS,MVPI005051,0.605,ld3
-0.5,SBDM,MVPI005052,0.54,ld3
-0.5,SLOC,MVPI005053,0.45,ld3
-0.5,SLCL,MVPI005054,31,ld3
-0.5,SLSI,MVPI005055,8,ld3
-0.5,SLCF,MVPI005056,0,ld3
-0.5,SLNI,MVPI005057,0.045,ld3
-0.5,SLHW,MVPI005058,2.75,ld3
-0.5,SCEC,MVPI005060,4.5,ld3
-0.5,SLB,MVPI005062,75,ld4
-0.5,SLLL,MVPI005064,0.14,ld4
-0.5,SDUL,MVPI005065,0.1555,ld4
-0.5,SSAT,MVPI005066,0.265,ld4
-0.5,SRGF,MVPI005067,0.05,ld4
-0.5,SSKS,MVPI005068,0.605,ld4
-0.5,SBDM,MVPI005069,0.54,ld4
-0.5,SLOC,MVPI005070,0.45,ld4
-0.5,SLCL,MVPI005071,31,ld4
-0.5,SLSI,MVPI005072,8,ld4
-0.5,SLCF,MVPI005073,0,ld4
-0.5,SLNI,MVPI005074,0.045,ld4
-0.5,SLHW,MVPI005075,2.75,ld4
-0.5,SCEC,MVPI005077,4.5,ld4
-0.75,SALB,MVPI007502,0.035,pd
-0.75,SLU1,MVPI007503,2.275,pd
-0.75,SLDR,MVPI007504,0.05,pd
-0.75,SLRO,MVPI007505,20.75,pd
-0.75,SLNF,MVPI007506,0.25,pd
-0.75,SLPF,MVPI007507,0.25,pd
-0.75,SLB,MVPI007511,5,ld1
-0.75,SLLL,MVPI007513,0.07,ld1
-0.75,SDUL,MVPI007514,0.08725,ld1
-0.75,SSAT,MVPI007515,0.1325,ld1
-0.75,SRGF,MVPI007516,0.25,ld1
-0.75,SSKS,MVPI007517,0.0975,ld1
-0.75,SBDM,MVPI007518,0.3075,ld1
-0.75,SLOC,MVPI007519,0.3675,ld1
-0.75,SLCL,MVPI007520,16.25,ld1
-0.75,SLSI,MVPI007521,3.75,ld1
-0.75,SLCF,MVPI007522,0,ld1
-0.75,SLNI,MVPI007523,0.03,ld1
-0.75,SLHW,MVPI007524,1.25,ld1
-0.75,SCEC,MVPI007526,2.7,ld1
-0.75,SLB,MVPI007528,10,ld2
-0.75,SLLL,MVPI007530,0.071,ld2
-0.75,SDUL,MVPI007531,0.08625,ld2
-0.75,SSAT,MVPI007532,0.1325,ld2
-0.75,SRGF,MVPI007533,0.25,ld2
-0.75,SSKS,MVPI007534,0.1575,ld2
-0.75,SBDM,MVPI007535,0.2825,ld2
-0.75,SLOC,MVPI007536,0.2775,ld2
-0.75,SLCL,MVPI007537,16.25,ld2
-0.75,SLSI,MVPI007538,4.25,ld2
-0.75,SLCF,MVPI007539,0,ld2
-0.75,SLNI,MVPI007540,0.025,ld2
-0.75,SLHW,MVPI007541,1.375,ld2
-0.75,SCEC,MVPI007543,2.3,ld2
-0.75,SLB,MVPI007545,30,ld3
-0.75,SLLL,MVPI007547,0.07,ld3
-0.75,SDUL,MVPI007548,0.07775,ld3
-0.75,SSAT,MVPI007549,0.1325,ld3
-0.75,SRGF,MVPI007575,0.225,ld3
-0.75,SSKS,MVPI007551,0.3025,ld3
-0.75,SBDM,MVPI007552,0.27,ld3
-0.75,SLOC,MVPI007553,0.225,ld3
-0.75,SLCL,MVPI007554,15.5,ld3
-0.75,SLSI,MVPI007555,4,ld3
-0.75,SLCF,MVPI007556,0,ld3
-0.75,SLNI,MVPI007557,0.0225,ld3
-0.75,SLHW,MVPI007558,1.375,ld3
-0.75,SCEC,MVPI007560,2.25,ld3
-0.75,SLB,MVPI007562,37.5,ld4
-0.75,SLLL,MVPI007564,0.07,ld4
-0.75,SDUL,MVPI007565,0.07775,ld4
-0.75,SSAT,MVPI007566,0.1325,ld4
-0.75,SRGF,MVPI007567,0.025,ld4
-0.75,SSKS,MVPI007568,0.3025,ld4
-0.75,SBDM,MVPI007569,0.27,ld4
-0.75,SLOC,MVPI007570,0.225,ld4
-0.75,SLCL,MVPI007571,15.5,ld4
-0.75,SLSI,MVPI007572,4,ld4
-0.75,SLCF,MVPI007573,0,ld4
-0.75,SLNI,MVPI007574,0.0225,ld4
-0.75,SLHW,MVPI007575,1.375,ld4
-0.75,SCEC,MVPI007577,2.25,ld4
-1,SALB,MVPI010002,0,pd
-1,SLU1,MVPI010003,0,pd
-1,SLDR,MVPI010004,0,pd
-1,SLRO,MVPI010005,0,pd
-1,SLNF,MVPI010006,0,pd
-1,SLPF,MVPI010007,0,pd
-1,SLB,MVPI010011,0,ld1
-1,SLLL,MVPI010013,0,ld1
-1,SDUL,MVPI010014,0,ld1
-1,SSAT,MVPI010015,0,ld1
-1,SRGF,MVPI010016,0,ld1
-1,SSKS,MVPI010017,0,ld1
-1,SBDM,MVPI010018,0,ld1
-1,SLOC,MVPI010019,0,ld1
-1,SLCL,MVPI010020,0,ld1
-1,SLSI,MVPI010021,0,ld1
-1,SLCF,MVPI010022,0,ld1
-1,SLNI,MVPI010023,0,ld1
-1,SLHW,MVPI010024,0,ld1
-1,SCEC,MVPI010026,0,ld1
-1,SLB,MVPI010028,0,ld2
-1,SLLL,MVPI010030,0,ld2
-1,SDUL,MVPI010031,0,ld2
-1,SSAT,MVPI010032,0,ld2
-1,SRGF,MVPI010033,0,ld2
-1,SSKS,MVPI010034,0,ld2
-1,SBDM,MVPI010035,0,ld2
-1,SLOC,MVPI010036,0,ld2
-1,SLCL,MVPI010037,0,ld2
-1,SLSI,MVPI010038,0,ld2
-1,SLCF,MVPI010039,0,ld2
-1,SLNI,MVPI010040,0,ld2
-1,SLHW,MVPI010041,0,ld2
-1,SCEC,MVPI010043,0,ld2
-1,SLB,MVPI010045,0,ld3
-1,SLLL,MVPI010047,0,ld3
-1,SDUL,MVPI010048,0,ld3
-1,SSAT,MVPI010049,0,ld3
-1,SRGF,MVPI010075,0,ld3
-1,SSKS,MVPI010051,0,ld3
-1,SBDM,MVPI010052,0,ld3
-1,SLOC,MVPI010053,0,ld3
-1,SLCL,MVPI010054,0,ld3
-1,SLSI,MVPI010055,0,ld3
-1,SLCF,MVPI010056,0,ld3
-1,SLNI,MVPI010057,0,ld3
-1,SLHW,MVPI010058,0,ld3
-1,SCEC,MVPI010060,0,ld3
-1,SLB,MVPI010062,0,ld4
-1,SLLL,MVPI010064,0,ld4
-1,SDUL,MVPI010065,0,ld4
-1,SSAT,MVPI010066,0,ld4
-1,SRGF,MVPI010067,0,ld4
-1,SSKS,MVPI010068,0,ld4
-1,SBDM,MVPI010069,0,ld4
-1,SLOC,MVPI010070,0,ld4
-1,SLCL,MVPI010071,0,ld4
-1,SLSI,MVPI010072,0,ld4
-1,SLCF,MVPI010073,0,ld4
-1,SLNI,MVPI010074,0,ld4
-1,SLHW,MVPI010075,0,ld4
-1,SCEC,MVPI010077,0,ld4
